0
(0.0136147 6 19 19 , 0.0393312 6 18 19)
(0.0364983 9 25 26 , 0.0401174 9 26 26)
(0.0365233 5 1 15 , 0.0405797 5 1 14)
(0.0354273 28 19 13 , 0.0421829 28 19 12)
(0.0174317 17 20 9 , 0.0447529 17 20 10)
(0.0230965 6 19 21 , 0.0455017 6 19 20)
(0.0216766 12 27 26 , 0.0465991 11 27 26)
(0.0101622 2 1 25 , 0.0467215 2 0 25)
(0.042101 23 5 17 , 0.0492979 22 5 17)
(0.0309397 0 9 8 , 0.0529035 1 9 8)
(0.0384548 1 9 13 , 0.0531807 1 9 14)
(0.0376734 15 3 24 , 0.0543933 15 2 24)
(0.023489 16 11 23 , 0.0549141 16 10 23)
(0.0397179 4 2 15 , 0.0552298 4 1 15)
(0.0583366 8 15 5 , 0.0591457 8 16 5)
(0.0430039 8 10 9 , 0.0604257 8 9 9)
(0.0498302 17 21 4 , 0.0604584 16 21 4)
(0.0599791 27 0 17 , 0.0605398 27 1 17)
(0.0610106 10 13 12 , 0.0623299 10 14 12)
(0.0171876 22 15 15 , 0.06247 22 15 14)
(0.00627668 7 19 17 , 0.062872 7 19 16)
(0.0582032 19 20 18 , 0.0673664 19 20 19)
(0.0514587 11 12 16 , 0.0680592 11 12 17)
(0.0397743 12 11 7 , 0.0715041 11 11 7)
(0.053837 22 6 3 , 0.0720167 22 6 4)
(0.0391307 23 10 18 , 0.0733211 22 10 18)
(0.032145 15 13 3 , 0.0737303 15 14 3)
(0.0528237 22 8 17 , 0.0745829 22 8 18)
(0.0496571 12 19 14 , 0.0753386 12 20 14)
(0.0470248 26 13 17 , 0.0753813 26 13 16)
(0.0438402 13 10 9 , 0.0765748 14 10 10)
(0.0379416 26 22 0 , 0.0772613 27 23 0)
(0.0162228 3 0 17 , 0.0774957 3 1 17)
(0.0418005 14 9 11 , 0.0778425 15 9 11)
(0.0472041 22 29 17 , 0.0787197 22 29 18)
(0.0745777 25 4 11 , 0.0796557 25 3 11)
(0.0342291 12 20 15 , 0.0806572 11 19 14)
(0.0248339 18 9 23 , 0.0808537 18 9 22)
(0.0686027 25 4 6 , 0.0821218 26 4 6)
(0.0347459 17 5 14 , 0.082528 17 5 13)
(0.0688294 24 25 23 , 0.0829988 24 25 24)
(0.0513911 6 13 11 , 0.0830949 5 13 11)
(0.0401127 2 20 21 , 0.0839128 2 19 21)
(0.0640987 29 11 17 , 0.0839665 28 11 17)
(0.074963 19 12 23 , 0.0856124 19 13 23)
(0.029548 23 8 7 , 0.0866293 23 7 7)
(0.0780259 29 7 7 , 0.0867129 29 6 7)
(0.0584142 26 28 11 , 0.0870147 26 28 10)
(0.009226 7 13 15 , 0.0880445 7 13 14)
(0.0567935 4 6 13 , 0.0893875 5 6 13)
(0.0115707 5 7 13 , 0.0893875 5 6 13)
(0.00741103 5 6 14 , 0.0893875 5 6 13)
(0.0763395 17 27 3 , 0.0903603 17 27 4)
(0.0261349 28 6 14 , 0.0918393 28 7 14)
(0.0397406 16 20 21 , 0.0930897 15 20 21)
(0.0836639 16 21 23 , 0.093715 17 21 23)
(0.0687168 17 22 23 , 0.093715 17 21 23)
(0.0345284 21 3 21 , 0.0938856 21 4 21)
(0.0421926 21 4 22 , 0.0938856 21 4 21)
(0.0350646 11 9 21 , 0.093928 11 8 21)
(0.0819014 22 6 25 , 0.0945625 23 6 26)
(0.0511524 24 13 26 , 0.0948125 24 13 27)
(0.082175 13 25 18 , 0.0956738 13 25 19)
(0.0267014 28 21 5 , 0.0957601 28 20 5)
(0.0407429 8 29 5 , 0.096513 8 29 3)
(0.0942302 21 7 17 , 0.0966584 21 7 18)
(0.0428389 14 13 16 , 0.0977319 14 12 16)
(0.0490641 21 9 21 , 0.0978184 22 9 21)
(0.0973623 27 26 26 , 0.0990173 27 27 26)
(0.0636431 7 7 9 , 0.0994468 7 8 9)
(0.090572 10 28 21 , 0.100236 10 29 21)
(0.041163 12 3 17 , 0.100603 13 3 17)
(0.0830448 1 12 20 , 0.100626 2 12 20)
(0.0502261 2 12 21 , 0.100626 2 12 20)
(0.0593425 25 1 4 , 0.100669 26 1 4)
(0.083815 27 5 28 , 0.10166 27 6 28)
(0.0651304 8 5 17 , 0.102572 7 5 17)
(0.0833505 18 29 12 , 0.102947 18 28 12)
(0.0631855 18 22 14 , 0.103171 19 22 14)
(0.0824561 6 8 10 , 0.103226 6 9 10)
(0.0911761 18 19 4 , 0.103444 17 19 4)
(0.0183787 10 11 12 , 0.103609 11 10 11)
(0.0960411 16 14 17 , 0.103609 16 14 18)
(0.0839507 23 19 5 , 0.103665 24 19 5)
(0.0629529 28 4 4 , 0.10393 29 4 4)
(0.0878747 0 28 10 , 0.104236 0 28 11)
(0.0155011 27 19 12 , 0.1074 28 19 14)
(0.0767134 26 16 12 , 0.107479 27 16 12)
(0.0479735 12 22 5 , 0.10772 12 23 5)
(0.033692 14 9 19 , 0.107986 14 10 19)
(0.0624105 1 13 7 , 0.108185 2 13 8)
(0.0940738 28 17 16 , 0.108693 28 16 16)
(0.089138 5 7 16 , 0.108893 4 7 16)
