0
(0.0053425 18 12 2 , 0.130457 18 13 2) - (0.00476477 18 11 2 , 0.0855673 18 11 1)
(0.0256287 24 9 27 , 0.351704 23 8 27) - (0.00446024 24 9 28 , 0.292132 25 10 25)
(0.0259469 17 12 0 , 0.207042 15 11 1) - (0.0172806 16 12 0 , 0.462467 15 14 0)
(0.011894 21 1 21 , 0.287552 20 1 22) - (0.0794955 20 2 22 , 0.130271 20 2 21)
(0.0238202 21 23 10 , 0.304201 22 23 10) - (0.0264304 20 24 11 , 0.273341 19 24 11)
(0.0183045 1 18 12 , 0.214547 1 16 13) - (0.0205302 0 18 13 , 0.0352987 0 18 12)
(0.0182676 18 15 0 , 0.401581 19 15 0) - (0.00750762 18 15 1 , 0.179679 18 13 1)
(0.020337 10 8 19 , 0.239021 9 5 20) - (0.0385796 10 8 20 , 0.171818 10 9 20)
(0.11045 10 21 3 , 0.20831 10 21 2) - (0.0225482 10 21 3 , 0.0404602 11 21 3)
(0.27215 5 2 19 , 0.390471 5 1 19) - (0.0181765 5 2 19 , 0.0421743 5 2 18)
(0.0550161 20 20 5 , 0.235184 21 20 6) - (0.0168366 21 21 5 , 0.0427974 20 21 5)
(0.0403179 8 2 14 , 0.0462365 8 2 13) - (0.0245664 8 2 15 , 0.371422 7 3 15)
(0.0349105 19 0 27 , 0.402991 19 2 27) - (0.022152 20 1 27 , 0.237451 20 2 25)
(0.0181424 7 16 22 , 0.0467897 7 16 21) - (0.0466368 7 17 22 , 0.25405 8 19 23)
(0.0278219 27 2 6 , 0.224797 27 1 5) - (0.192871 28 1 5 , 0.305674 28 1 6)
(0.0547829 14 23 9 , 0.2591 14 23 10) - (0.00502286 15 25 10 , 0.297661 14 25 10)
(0.149685 6 29 0 , 0.263506 5 29 0) - (0.0298445 3 29 0 , 0.0548363 4 29 0)
(0.0509753 8 5 13 , 0.215693 8 4 13) - (0.0274838 6 3 10 , 0.197565 5 5 11)
(0.0225417 7 12 13 , 0.637065 7 12 12) - (0.0931275 7 14 12 , 0.135361 7 14 11)
(0.0438148 24 15 20 , 0.242996 25 15 20) - (0.0552535 25 15 20 , 0.187165 25 15 19)
(0.0147014 21 3 20 , 0.15143 21 1 20) - (0.0175231 21 3 21 , 0.28998 20 3 21)
(0.00929205 12 16 12 , 0.0557075 11 15 12) - (0.171925 12 15 12 , 0.197664 12 15 13)
(0.0346923 2 29 6 , 0.0847752 2 28 5) - (0.245128 2 29 6 , 0.488981 2 29 5)
(0.0301916 26 26 28 , 0.38529 26 25 29) - (0.0465232 25 29 27 , 0.138581 25 29 28)
(0.0184059 27 9 22 , 0.101102 26 10 23) - (0.179026 26 9 22 , 0.323015 25 9 22)
(0.153689 1 23 27 , 0.157928 1 24 27) - (0.0249233 1 23 26 , 0.0591839 2 23 25)
(0.0339801 9 23 5 , 0.121487 9 23 4) - (0.0219091 10 23 5 , 0.216112 10 22 4)
(0.059456 17 7 0 , 0.261471 17 8 0) - (0.0514301 18 7 0 , 0.212846 18 8 0)
(0.0597522 27 23 10 , 0.322626 27 24 10) - (0.041165 27 23 9 , 0.276325 26 23 10)
(0.0589032 0 5 19 , 0.0750974 0 4 20) - (0.144355 0 5 19 , 0.246392 0 4 19)
(0.036798 11 10 5 , 0.352169 10 10 4) - (0.046808 14 9 4 , 0.361261 12 9 4)
(0.0452658 9 3 27 , 0.29341 8 4 27) - (0.0472774 7 3 27 , 0.327461 6 3 26)
(0.0462911 2 25 3 , 0.0615677 3 25 3) - (0.0434805 3 27 4 , 0.165361 4 27 4)
(0.0522127 12 12 9 , 0.322774 12 13 9) - (0.0417376 12 11 7 , 0.241395 12 10 7)
(0.0174249 13 7 20 , 0.264917 13 9 20) - (0.0599375 13 8 20 , 0.0991964 12 9 20)
(0.0273003 11 26 28 , 0.116939 11 26 27) - (0.063807 11 26 27 , 0.109091 11 26 28)
(0.030491 20 28 23 , 0.16007 21 28 23) - (0.0460392 21 27 26 , 0.293883 21 28 26)
(0.0216432 3 3 23 , 0.242989 4 3 22) - (0.0447673 3 2 22 , 0.382309 2 2 23)
(0.013394 2 24 25 , 0.397386 2 24 26) - (0.0353978 2 25 24 , 0.371612 2 24 24)
(0.245052 21 27 2 , 0.268642 21 28 2) - (0.00577574 23 27 0 , 0.28417 22 27 0)
(0.00729787 28 13 4 , 0.360476 27 12 2) - (0.0676794 28 12 4 , 0.27011 29 12 3)
(0.0493109 20 26 6 , 0.132355 19 25 6) - (0.188304 20 26 6 , 0.419873 20 27 6)
(0.00904299 22 29 2 , 0.308535 21 29 2) - (0.0619489 21 29 2 , 0.456686 21 29 1)
(0.0416946 16 20 7 , 0.28772 16 19 7) - (0.027608 16 18 4 , 0.194556 15 17 5)
(0.165789 9 16 7 , 0.214682 10 16 7) - (0.0365613 8 14 7 , 0.242401 8 14 8)
(0.0394425 15 11 26 , 0.0701876 15 11 27) - (0.160359 15 11 26 , 0.292451 15 10 26)
(0.0605539 6 4 26 , 0.343171 5 4 26) - (0.0218872 6 5 26 , 0.0984538 6 6 25)
(0.0363598 10 21 9 , 0.394849 9 20 9) - (0.042834 10 20 8 , 0.279659 9 23 9)
(0.00764928 10 9 20 , 0.292547 10 11 18) - (0.0302957 11 9 20 , 0.21855 15 9 23)
(0.0359346 13 11 20 , 0.181553 13 11 19) - (0.0243248 13 12 20 , 0.160778 12 12 20)
(0.0292407 16 10 14 , 0.197284 15 11 14) - (0.0290253 15 9 15 , 0.0722012 15 10 15)
(0.00634556 11 29 28 , 0.0890441 11 29 27) - (0.0591094 11 26 29 , 0.252463 12 25 26)
(0.05457 4 17 8 , 0.212783 5 17 8) - (0.0332893 3 17 8 , 0.329797 4 17 7)
(0.0729845 4 2 2 , 0.201617 4 3 2) - (0.0600539 3 2 2 , 0.108675 4 2 2)
(0.0356944 6 2 9 , 0.159731 7 2 9) - (0.0731241 7 2 9 , 0.392344 7 2 10)
(0.0384378 18 20 4 , 0.412222 16 18 3) - (0.016995 15 20 7 , 0.344894 14 20 7)
(0.0199683 16 27 2 , 0.375014 17 27 3) - (0.116567 16 26 4 , 0.224447 15 26 5)
(0.0612455 3 20 8 , 0.317046 3 20 7) - (0.113176 2 19 9 , 0.33646 2 19 8)
(0.0194736 22 8 29 , 0.316563 20 8 28) - (0.0243826 22 7 29 , 0.356856 22 6 27)
(0.0226789 26 1 5 , 0.224797 27 1 5) - (0.0687925 25 1 4 , 0.0742004 25 1 3)
(0.0559557 12 4 24 , 0.238363 12 4 23) - (0.171666 11 5 22 , 0.408501 11 5 21)
(0.0146801 9 21 7 , 0.289514 9 22 5) - (0.0746954 9 22 9 , 0.279349 10 21 9)
(0.00668717 1 27 8 , 0.251226 1 26 9) - (0.00954426 1 28 8 , 0.277787 0 29 7)
(0.0728362 2 19 21 , 0.297967 3 18 20) - (0.0658424 2 21 22 , 0.331104 3 21 21)
(0.35401 24 1 20 , 0.500607 25 1 20) - (0.0403147 24 1 20 , 0.0772805 24 1 21)
(0.0411494 6 11 14 , 0.507553 6 12 14) - (0.016701 7 12 12 , 0.265796 5 11 12)
(0.0735654 11 4 18 , 0.181 11 5 19) - (0.0150198 11 4 17 , 0.218237 11 3 17)
(0.0684679 6 27 12 , 0.159851 6 28 13) - (0.00733599 6 26 14 , 0.0777491 6 26 13)
(0.0637334 19 21 6 , 0.399217 19 22 6) - (0.0460203 19 21 6 , 0.0781733 20 21 6)
(0.201901 20 21 7 , 0.25967 21 21 7) - (0.00422242 20 20 5 , 0.0781733 20 21 6)
(0.0373314 27 7 11 , 0.175927 27 6 11) - (0.016324 27 7 12 , 0.0898936 28 7 12)
(0.0468857 16 3 23 , 0.216693 15 3 22) - (0.057024 16 3 22 , 0.480815 16 3 21)
(0.0465175 8 9 19 , 0.175046 7 10 20) - (0.0751308 7 6 19 , 0.0789592 7 7 19)
(0.0229759 22 18 24 , 0.310174 23 18 24) - (0.0697164 21 18 23 , 0.274741 21 17 23)
(0.0442633 12 6 5 , 0.0792235 11 6 5) - (0.0375499 12 6 5 , 0.390698 13 7 10)
(0.0656898 20 12 29 , 0.0793224 20 13 29) - (0.126667 20 12 29 , 0.335287 20 13 29)
(0.0794568 9 2 8 , 0.164645 9 2 9) - (0.0191745 9 2 7 , 0.227917 9 4 7)
(0.0272214 19 28 7 , 0.315762 19 28 8) - (0.134374 21 27 7 , 0.13703 21 28 7)
(0.0621761 19 21 19 , 0.341026 19 22 22) - (0.0710782 19 22 21 , 0.0799749 19 22 20)
(0.0349876 9 4 21 , 0.373973 10 3 19) - (0.0092012 11 2 21 , 0.262478 10 4 21)
(0.0704866 19 7 24 , 0.0802057 19 7 25) - (0.2933 19 7 25 , 0.620045 19 8 25)
(0.044987 27 1 26 , 0.0803061 28 1 26) - (0.04246 29 1 27 , 0.388038 29 2 28)
(0.0289444 20 10 8 , 0.298936 20 9 9) - (0.464132 20 10 9 , 0.563689 21 10 9)
(0.0327837 11 1 21 , 0.26076 12 1 21) - (0.011642 9 4 19 , 0.25904 11 4 20)
(0.0434299 5 28 9 , 0.415676 5 29 9) - (0.0575287 3 28 9 , 0.356181 2 28 9)
(0.0259953 25 21 22 , 0.147578 22 19 22) - (0.0245793 24 20 25 , 0.171973 23 20 25)
(0.0298724 4 28 14 , 0.288242 4 27 14) - (0.0363858 3 28 13 , 0.279728 4 28 14)
(0.02417 10 5 19 , 0.181 11 5 19) - (0.0264906 12 1 20 , 0.0824732 11 1 20)
(0.0274924 19 18 20 , 0.219983 20 18 20) - (0.0807452 19 17 21 , 0.0835539 19 18 21)
(0.0509724 3 15 9 , 0.52055 2 16 9) - (0.0571901 3 16 9 , 0.0840864 3 17 9)
(0.0435709 26 29 6 , 0.338088 29 29 2) - (0.064815 26 28 4 , 0.237711 23 29 4)
(0.0839825 12 9 5 , 0.0954733 11 9 5) - (0.0845131 12 9 6 , 0.10105 13 9 6)
(0.0309112 15 6 6 , 0.0847484 15 6 7) - (0.056051 14 6 7 , 0.211359 13 6 6)
(0.0338826 1 28 5 , 0.143933 2 29 7) - (0.036589 2 25 2 , 0.202073 3 25 4)
(0.0987934 9 11 16 , 0.220948 10 11 16) - (0.025708 9 11 16 , 0.0884424 10 9 16)
(0.0531084 22 0 8 , 0.149616 23 1 8) - (0.0804015 23 1 8 , 0.232341 25 1 8)
(0.036386 11 10 16 , 0.220948 10 11 16) - (0.00881215 10 13 16 , 0.389961 9 13 17)
(0.0664094 9 10 18 , 0.300144 9 10 17) - (0.0434488 8 10 17 , 0.0855885 9 10 16)
(0.074058 18 26 20 , 0.0866871 17 26 20) - (0.0470585 19 26 20 , 0.2408 19 24 23)
(0.0300078 17 26 19 , 0.0866871 17 26 20) - (0.0472612 16 28 20 , 0.171359 15 28 20)
(0.0595939 4 25 20 , 0.168598 3 27 20) - (0.0595338 3 25 20 , 0.349276 3 25 19)
(0.0567888 3 15 6 , 0.164176 5 15 5) - (0.0789934 4 17 5 , 0.251785 3 15 6)
(0.0430134 27 5 1 , 0.308833 27 4 2) - (0.244396 26 7 1 , 0.258139 26 6 1)
(0.0451127 8 19 27 , 0.15081 10 19 26) - (0.0742492 8 19 26 , 0.226985 8 19 25)
(0.0797071 23 9 25 , 0.242881 23 9 26) - (0.0658678 23 10 26 , 0.0891135 23 10 25)
(0.0570445 5 16 17 , 0.151487 5 13 17) - (0.0438085 5 14 18 , 0.244794 5 13 17)
(0.0808514 23 8 22 , 0.0896944 23 9 22) - (0.558728 23 8 22 , 0.677198 23 9 22)
(0.0239033 16 8 17 , 0.300605 16 10 18) - (0.0222396 15 8 17 , 0.0899268 15 8 18)
(0.290181 25 8 29 , 0.45974 25 8 28) - (0.0146707 25 8 29 , 0.0900149 25 9 29)
(0.0759814 21 14 26 , 0.129371 21 15 26) - (0.0402453 21 14 27 , 0.182936 23 15 27)
(0.0065928 9 7 6 , 0.505748 10 7 7) - (0.082561 8 7 6 , 0.451592 7 7 7)
(0.0839528 28 26 4 , 0.092034 28 27 4) - (0.138985 28 27 4 , 0.245185 29 27 4)
(0.0666826 8 12 28 , 0.164905 9 12 28) - (0.0390085 9 10 29 , 0.426373 10 10 29)
(0.0650733 12 7 19 , 0.0928434 13 7 19) - (0.186712 12 7 19 , 0.256194 12 7 20)
(0.0410719 1 4 20 , 0.0928956 1 5 20) - (0.027432 2 6 19 , 0.302668 2 8 18)
(0.093222 16 1 26 , 0.130952 16 2 26) - (0.07506 16 0 26 , 0.445276 15 0 27)
(0.0548768 10 7 23 , 0.41742 9 6 24) - (0.0217456 11 7 24 , 0.326969 13 6 22)
(0.0198044 13 16 13 , 0.0937202 12 16 13) - (0.0621787 11 15 11 , 0.279673 10 16 11)
(0.0330359 3 25 27 , 0.0940115 3 24 27) - (0.0273499 2 24 27 , 0.199035 2 25 27)
(0.0291536 10 16 9 , 0.256853 9 16 8) - (0.0468933 6 16 12 , 0.105971 5 16 12)
(0.0228801 18 25 13 , 0.488182 18 25 12) - (0.0752107 15 26 15 , 0.291928 13 27 17)
(0.0820543 16 27 17 , 0.308566 16 27 18) - (0.0404071 17 27 15 , 0.101166 17 26 15)
(0.0269533 15 10 27 , 0.337575 15 12 27) - (0.0275221 15 9 27 , 0.335948 17 5 25)
(0.0623094 12 9 7 , 0.311614 12 10 6) - (0.0316129 13 9 7 , 0.28422 11 9 6)
(0.0441828 21 19 26 , 0.0956732 20 19 26) - (0.0358974 20 18 25 , 0.472184 19 18 24)
(0.339803 2 29 18 , 0.405506 2 29 17) - (0.0330128 0 29 17 , 0.0957056 1 29 17)
(0.0684558 8 25 28 , 0.0960116 7 25 28) - (0.24537 7 25 28 , 0.324547 7 24 28)
(0.0192253 12 0 7 , 0.254687 13 1 7) - (0.0578349 13 0 7 , 0.0960881 13 1 7)
(0.050253 25 20 4 , 0.256541 24 20 4) - (0.0727783 24 19 3 , 0.519533 23 19 3)
(0.0851018 13 14 24 , 0.0963063 13 15 24) - (0.0132336 12 15 26 , 0.142003 12 16 27)
(0.0358629 9 27 7 , 0.209985 9 29 10) - (0.0860037 10 28 7 , 0.190276 10 28 9)
(0.0309993 2 13 17 , 0.176686 2 12 17) - (0.0630835 2 13 18 , 0.0964765 2 13 19)
(0.0528792 28 15 15 , 0.228277 28 15 16) - (0.0615071 29 16 19 , 0.322965 29 15 19)
(0.0485417 9 16 18 , 0.308108 10 16 18) - (0.0953388 8 18 17 , 0.422064 7 18 17)
(0.0626774 9 13 21 , 0.247836 8 13 22) - (0.0916202 9 13 20 , 0.394664 9 13 21)
(0.0418947 23 16 21 , 0.335851 23 16 20) - (0.0383028 24 14 19 , 0.261964 25 14 17)
(0.0902455 17 18 3 , 0.355057 18 18 4) - (0.57779 17 18 3 , 0.577969 17 18 4)
(0.0478321 18 12 14 , 0.580086 18 11 15) - (0.0864083 19 14 14 , 0.302278 20 13 15)
(0.0147415 12 10 19 , 0.157755 11 9 20) - (0.0582489 12 11 19 , 0.349474 12 11 20)
(0.0812401 4 23 1 , 0.436876 5 23 1) - (0.00537762 5 22 5 , 0.315584 3 21 5)
(0.0618618 24 7 29 , 0.219302 22 5 29) - (0.00749691 25 7 28 , 0.0974674 25 7 29)
(0.0501861 10 26 20 , 0.343153 11 25 20) - (0.0775966 10 26 20 , 0.211208 9 26 20)
(0.0976352 23 7 15 , 0.489911 23 8 15) - (0.0266367 24 7 14 , 0.290201 22 8 11)
(0.0976555 24 22 12 , 0.154127 24 22 11) - (0.093693 24 21 12 , 0.296629 24 22 12)
(0.0622983 27 1 12 , 0.307097 28 1 13) - (0.0757407 29 0 11 , 0.230339 27 3 10)
(0.0244218 6 6 23 , 0.217385 6 4 22) - (0.0196823 7 6 24 , 0.268392 6 3 24)
(0.0396113 4 13 8 , 0.228119 5 11 9) - (0.02342 7 11 10 , 0.213512 7 10 10)
(0.0188058 29 23 28 , 0.434774 28 19 27) - (0.0435529 28 23 29 , 0.530859 28 23 28)
(0.0395382 11 2 18 , 0.0992148 11 1 18) - (0.0540639 11 0 18 , 0.291332 14 0 19)
(0.0633441 13 23 19 , 0.0996057 12 23 20) - (0.0512865 12 24 20 , 0.177573 13 23 20)
(0.0441952 26 18 22 , 0.387302 26 18 21) - (0.0108064 25 15 24 , 0.210394 24 15 24)
(0.0539237 0 18 24 , 0.333597 1 17 23) - (0.08406 0 19 23 , 0.293493 1 18 24)
(0.195835 14 16 16 , 0.31825 15 16 16) - (0.045779 14 16 16 , 0.0998145 15 16 16)
(0.0780363 16 4 15 , 0.512272 17 4 15) - (0.0886686 17 5 14 , 0.0998704 17 4 14)
(0.0232944 7 21 14 , 0.19445 7 21 15) - (0.0190069 8 21 14 , 0.245591 11 18 14)
(0.00898215 3 29 8 , 0.258974 2 27 5) - (0.0159717 5 29 9 , 0.264488 7 28 8)
(0.0131812 0 15 8 , 0.413747 1 15 7) - (0.012562 0 15 7 , 0.423755 0 12 7)
(0.0399067 9 2 10 , 0.221125 10 1 10) - (0.0163313 7 0 7 , 0.207668 8 0 7)
(0.0175771 7 3 10 , 0.159731 7 2 9) - (0.00835983 9 2 10 , 0.207311 11 0 11)
(0.189611 19 11 24 , 0.340993 19 10 24) - (0.0527157 20 10 23 , 0.100778 20 11 23)
(0.0917946 21 6 14 , 0.29254 20 7 13) - (0.0574819 22 5 14 , 0.154715 22 5 15)
(0.0144659 27 10 23 , 0.22334 26 8 22) - (0.0334838 24 9 22 , 0.4163 26 10 23)
(0.0526847 18 1 19 , 0.246456 17 1 19) - (0.0555872 17 1 18 , 0.132223 18 2 18)
(0.101346 3 9 14 , 0.320045 3 10 14) - (0.039219 3 9 13 , 0.1773 4 8 13)
(0.026929 3 6 27 , 0.101412 3 6 28) - (0.0136954 2 6 28 , 0.32346 3 6 28)
(0.0717896 27 21 20 , 0.101721 28 21 19) - (0.152331 28 21 20 , 0.423874 28 21 19)
(0.0887646 29 27 16 , 0.364557 29 28 16) - (0.0632774 29 25 15 , 0.101756 29 26 15)
(0.0334353 10 18 10 , 0.387587 10 18 11) - (0.0286073 11 17 10 , 0.279673 10 16 11)
(0.0339412 23 19 29 , 0.102119 23 20 29) - (0.0546091 22 19 29 , 0.33214 21 20 29)
(0.0675881 14 16 4 , 0.102349 14 15 4) - (0.150499 14 16 4 , 0.215666 15 16 4)
(0.0160988 1 6 16 , 0.30328 1 8 19) - (0.105283 2 7 12 , 0.267896 1 7 12)
(0.227286 7 26 3 , 0.255601 7 26 4) - (0.0171876 8 26 3 , 0.105814 7 27 2)
(0.0528196 20 20 22 , 0.398043 20 20 21) - (0.0180348 22 16 24 , 0.304413 22 15 24)
(0.103357 3 6 10 , 0.421006 4 4 11) - (0.0629232 2 6 9 , 0.323665 2 5 9)
(0.0165597 7 9 27 , 0.230491 8 9 28) - (0.0379851 7 8 27 , 0.331214 7 8 28)
(0.101022 6 19 17 , 0.135212 7 19 17) - (0.00447829 4 20 17 , 0.10355 6 20 17)
(0.102475 7 6 27 , 0.200712 7 8 27) - (0.0699931 7 6 27 , 0.144762 7 6 26)
(0.0396737 7 8 25 , 0.291596 7 7 26) - (0.0357617 6 8 25 , 0.122339 7 6 25)
(0.0201196 2 10 1 , 0.107332 1 11 2) - (0.0827405 0 12 2 , 0.420121 1 13 0)
(0.115687 16 27 13 , 0.14873 15 27 13) - (0.0458897 14 26 13 , 0.378198 14 26 14)
(0.0429681 26 21 19 , 0.351039 25 23 20) - (0.104649 27 21 18 , 0.320716 27 22 18)
(0.0336574 20 19 29 , 0.324712 19 19 29) - (0.00761652 23 21 28 , 0.346092 23 21 27)
(0.0782793 27 17 17 , 0.404135 27 16 17) - (0.0604218 26 16 17 , 0.138194 27 16 16)
(0.070959 28 8 21 , 0.332111 28 7 21) - (0.0252333 28 8 23 , 0.264469 29 9 25)
(0.0954616 28 10 22 , 0.105654 28 9 22) - (0.0196014 28 11 21 , 0.322341 28 12 21)
(0.089481 5 28 13 , 0.159851 6 28 13) - (0.0205648 5 28 13 , 0.189899 6 27 13)
(0.0564722 25 25 8 , 0.243015 25 24 8) - (0.0927598 25 25 7 , 0.105716 25 25 6)
(0.200333 25 25 22 , 0.537188 25 26 22) - (0.0438892 23 26 22 , 0.113335 23 26 23)
(0.0468813 23 26 21 , 0.239687 23 26 20) - (0.0440331 25 27 22 , 0.105869 25 26 22)
(0.00881326 24 10 22 , 0.358549 24 9 22) - (0.029669 27 12 21 , 0.243128 26 12 20)
(0.082367 1 7 18 , 0.106067 2 7 18) - (0.0939607 3 7 17 , 0.410069 5 6 17)
(0.0626302 2 7 17 , 0.106067 2 7 18) - (0.023327 1 4 20 , 0.368459 1 5 21)
(0.0511334 3 12 7 , 0.322621 4 12 7) - (0.0194445 4 12 8 , 0.195482 4 12 7)
(0.0969505 5 18 15 , 0.470842 5 18 14) - (0.017339 6 18 14 , 0.252745 7 18 14)
(0.0661378 13 4 9 , 0.3716 14 5 7) - (0.0784529 13 5 9 , 0.260647 13 4 9)
(0.0609435 20 25 20 , 0.11212 18 25 20) - (0.0839751 20 25 20 , 0.264002 20 25 21)
(0.0620194 11 8 7 , 0.372561 11 7 7) - (0.100643 11 7 7 , 0.439846 11 7 8)
(0.010163 7 22 10 , 0.294564 9 22 9) - (0.0160654 10 23 7 , 0.331888 10 24 9)
(0.0272009 1 0 17 , 0.107858 1 1 17) - (0.181877 1 0 17 , 0.356341 2 0 17)
(0.0345203 2 1 17 , 0.107858 1 1 17) - (0.0867888 2 1 17 , 0.242222 2 3 18)
(0.0247853 1 1 18 , 0.21401 0 1 17) - (0.0473543 0 1 18 , 0.474598 1 2 18)
(0.0421732 25 23 4 , 0.157355 25 23 3) - (0.106075 24 23 4 , 0.21027 25 22 4)
(0.0671502 10 17 16 , 0.326088 10 16 16) - (0.0440447 10 17 17 , 0.134814 10 16 17)
(0.0180988 26 6 15 , 0.320309 27 5 13) - (0.0414636 27 3 13 , 0.320137 24 3 11)
(0.0557489 8 10 29 , 0.131516 7 10 29) - (0.0333146 8 8 29 , 0.341283 8 8 28)
(0.0563579 4 10 15 , 0.393041 1 9 15) - (0.0232251 4 9 14 , 0.1773 4 8 13)
(0.0437776 14 17 24 , 0.311744 12 17 24) - (0.0127039 14 18 24 , 0.108617 13 18 24)
(0.0845198 24 11 18 , 0.228975 25 11 18) - (0.0632989 26 11 17 , 0.28165 27 10 17)
(0.235243 3 20 5 , 0.386012 3 20 6) - (0.0510636 3 20 5 , 0.108825 3 20 4)
(0.0252688 15 3 1 , 0.109035 15 3 2) - (0.0871246 15 3 0 , 0.330708 15 3 1)
(0.102477 2 9 24 , 0.109123 2 9 25) - (0.0341848 3 8 25 , 0.369162 3 9 25)
(0.0214278 2 10 25 , 0.176604 4 9 25) - (0.0311803 2 10 26 , 0.324746 2 10 25)
(0.0852696 2 14 28 , 0.263315 3 14 28) - (0.084348 2 14 28 , 0.109206 1 14 28)
(0.109695 22 12 21 , 0.156038 22 12 20) - (0.0699094 23 12 22 , 0.171548 22 12 22)
(0.264615 4 21 15 , 0.606509 4 20 15) - (0.0494164 4 22 15 , 0.210347 5 21 15)
(0.0299412 16 17 18 , 0.178081 17 17 18) - (0.00917613 15 13 18 , 0.221292 15 15 17)
(0.0838057 1 13 12 , 0.110096 2 13 12) - (0.0331105 1 12 12 , 0.2161 1 12 11)
(0.0424167 5 10 20 , 0.175046 7 10 20) - (0.110195 4 10 20 , 0.494583 4 9 20)
(0.0211902 8 20 3 , 0.273733 7 17 2) - (0.0404034 9 18 2 , 0.110524 8 18 2)
(0.0468476 29 22 7 , 0.26946 28 22 6) - (0.0830531 28 23 7 , 0.192141 29 23 6)
(0.067707 7 20 9 , 0.110837 7 19 9) - (0.287732 7 19 9 , 0.374587 6 19 9)
(0.103784 9 9 28 , 0.173652 9 10 28) - (0.0427043 10 9 28 , 0.389328 8 12 26)
(0.0792835 22 10 6 , 0.252016 21 9 7) - (0.0104392 21 11 7 , 0.358037 21 11 8)
(0.0582627 7 9 12 , 0.154346 7 10 12) - (0.00838845 5 9 12 , 0.272909 8 10 12)
(0.019143 25 13 16 , 0.123693 25 12 16) - (0.0682603 26 11 15 , 0.152308 25 10 15)
(0.0673912 7 29 27 , 0.426954 7 29 28) - (0.0440874 8 29 25 , 0.111661 8 29 27)
(0.0267299 2 11 28 , 0.339774 4 11 27) - (0.0414593 3 11 27 , 0.208883 4 12 26)
(0.0242546 22 27 26 , 0.159394 22 27 25) - (0.294508 19 26 27 , 0.329987 20 26 27)
(0.0248152 5 25 16 , 0.201057 3 25 16) - (0.0925675 6 23 14 , 0.315276 7 24 14)
(0.0505698 8 24 16 , 0.440368 8 24 15) - (0.0767734 8 24 16 , 0.111926 7 24 16)
(0.0117641 17 23 29 , 0.111933 18 23 29) - (0.193311 18 23 29 , 0.225521 19 23 29)
(0.0297338 14 12 18 , 0.264115 14 12 19) - (0.0235292 13 16 14 , 0.111947 14 16 14)
(0.00739019 8 16 14 , 0.112087 8 14 14) - (0.0326661 8 16 14 , 0.193365 9 15 14)
(0.0446416 10 26 8 , 0.168586 9 27 8) - (0.0840911 9 26 8 , 0.403739 9 25 8)
(0.0384511 18 24 21 , 0.11212 18 25 20) - (0.0571129 18 24 20 , 0.154558 17 23 20)
(0.169075 20 15 18 , 0.260958 20 15 19) - (0.0133636 20 15 17 , 0.235748 21 16 19)
(0.00853104 22 17 19 , 0.260958 20 15 19) - (0.0552614 19 15 20 , 0.112248 20 15 19)
(0.0658726 9 10 24 , 0.199847 9 10 25) - (0.0471972 8 10 24 , 0.338022 9 8 22)
