0
(0.0127951 22 25 1 , 0.0144836 23 25 1)
(0.0160834 11 15 11 , 0.0204649 10 15 11)
(0.0226411 10 12 12 , 0.0256438 10 12 14)
(0.0257225 19 14 4 , 0.030701 19 13 4)
(0.00250416 0 17 10 , 0.0330338 0 18 10)
(0.0197477 8 14 11 , 0.0344847 8 14 12)
(0.0155709 19 12 17 , 0.0353931 19 12 18)
(0.0117278 6 14 5 , 0.0381302 5 14 5)
(0.0297745 9 17 21 , 0.0386637 10 17 21)
(0.030867 17 25 15 , 0.0412271 17 24 15)
(0.0344666 22 15 19 , 0.0415934 22 16 19)
(0.0214163 17 19 6 , 0.043911 17 18 6)
(0.0374359 8 1 13 , 0.0462365 8 2 13)
(0.0238094 11 13 12 , 0.0480989 10 13 12)
(0.0345086 2 7 12 , 0.0485168 2 8 12)
(0.0420555 22 27 24 , 0.0494937 21 27 24)
(0.0406894 17 16 4 , 0.0526824 17 16 3)
(0.0266732 22 17 25 , 0.05352 22 18 25)
(0.0218663 2 11 2 , 0.0565879 2 10 2)
(0.041788 19 24 22 , 0.0599582 19 24 21)
(0.0275445 16 11 0 , 0.0605125 17 11 0)
(0.0372786 13 8 26 , 0.0611345 13 8 27)
(0.0514627 26 28 16 , 0.0616375 25 28 16)
(0.0440443 7 15 11 , 0.0620283 7 16 11)
(0.0339348 4 2 22 , 0.0642262 4 2 23)
(0.0234364 3 28 23 , 0.0654834 2 28 23)
(0.0561422 24 26 19 , 0.0654993 25 26 19)
(0.0310342 2 5 2 , 0.0658637 1 5 2)
(0.0570474 8 22 9 , 0.0689981 8 22 10)
(0.0531469 10 11 7 , 0.0707208 10 11 8)
(0.0636619 14 7 19 , 0.0709959 14 7 20)
(0.0383569 27 13 9 , 0.0712857 28 13 9)
(0.0531743 13 7 9 , 0.0718753 14 7 9)
(0.0582991 14 7 28 , 0.0723276 15 7 28)
(0.0712646 16 26 15 , 0.0723749 16 25 15)
(0.0560316 17 20 5 , 0.0732893 18 20 5)
(0.0241138 27 19 17 , 0.0748883 26 19 17)
(0.0153366 17 22 28 , 0.0750491 18 22 28)
(0.0222585 0 4 3 , 0.0758115 0 3 3)
(0.0178485 20 26 26 , 0.0758858 19 26 26)
(0.0502935 26 29 4 , 0.0771104 26 29 5)
(0.00619111 9 6 5 , 0.0792235 11 6 5)
(0.00397679 11 7 5 , 0.0792235 11 6 5)
(0.0696274 7 23 16 , 0.0816749 7 23 15)
(0.0243567 1 5 1 , 0.0817667 2 5 1)
(0.063 24 19 23 , 0.0820406 24 19 24)
(0.0806338 12 25 21 , 0.0835145 13 25 21)
(0.0170852 8 2 17 , 0.0842649 9 2 17)
(0.0302701 4 10 23 , 0.0864864 4 9 23)
(0.0717848 4 15 5 , 0.0865827 4 15 6)
(0.0553992 11 4 3 , 0.0874124 12 4 3)
(0.0771705 5 6 5 , 0.0882963 5 5 5)
(0.0167951 11 4 9 , 0.0884855 11 3 9)
(0.0594344 27 15 2 , 0.0910682 28 15 2)
(0.0515802 5 2 21 , 0.091083 6 3 21)
(0.0823521 4 11 28 , 0.0915554 3 11 28)
(0.0839356 9 4 25 , 0.093578 10 4 25)
(0.0773906 21 12 18 , 0.0938581 21 12 17)
(0.0856745 20 24 7 , 0.0946453 21 24 7)
(0.0544606 1 1 4 , 0.0953716 1 1 5)
(0.0521058 2 1 5 , 0.0953716 1 1 5)
(0.0388805 11 19 28 , 0.0957957 11 20 28)
(0.0787193 14 0 19 , 0.095921 14 0 20)
(0.0152832 3 2 4 , 0.0961075 3 1 5)
(0.0956752 24 19 3 , 0.0961168 24 19 4)
(0.0767434 4 7 24 , 0.0968752 4 8 24)
(0.0643701 28 13 25 , 0.0977204 28 14 25)
(0.068571 16 10 10 , 0.0977658 16 9 10)
(0.0362301 3 8 23 , 0.0980279 3 9 23)
(0.0532488 10 20 22 , 0.0988192 10 20 23)
(0.0110049 28 12 9 , 0.0992218 27 12 9)
(0.0883285 12 12 0 , 0.100299 11 12 0)
(0.0617732 27 18 16 , 0.100305 28 18 16)
(0.048112 28 19 16 , 0.100305 28 18 16)
(0.0659929 7 2 8 , 0.10032 7 2 7)
(0.0714851 7 19 15 , 0.100758 8 19 15)
(0.0319468 8 20 15 , 0.100758 8 19 15)
(0.0925076 18 26 29 , 0.101536 18 27 29)
(0.083768 2 5 12 , 0.102355 2 6 12)
(0.0278494 2 6 13 , 0.102355 2 6 12)
(0.0412041 2 9 3 , 0.102875 2 10 3)
(0.0878889 1 11 17 , 0.103101 2 11 17)
(0.0997166 5 15 16 , 0.104534 5 14 16)
(0.0725207 17 6 16 , 0.104718 17 6 17)
(0.102675 15 16 20 , 0.104852 15 16 21)
(0.0911303 22 17 13 , 0.106268 23 17 13)
(0.0183388 21 27 28 , 0.106423 22 28 28)
(0.0555089 27 29 14 , 0.106493 27 29 15)
(0.0687223 22 0 12 , 0.107754 21 0 12)
(0.0271606 28 1 15 , 0.107883 28 1 16)
(0.0835512 6 20 10 , 0.10858 7 20 10)
(0.0451551 3 27 8 , 0.108639 3 28 9)
(0.0335702 3 9 25 , 0.109123 2 9 25)
(0.0608253 12 9 21 , 0.109827 12 10 20)
(0.0223879 8 13 7 , 0.110099 8 12 7)
(0.0828017 16 24 18 , 0.110773 17 24 18)
(0.0785467 17 24 17 , 0.110773 17 24 18)
(0.100486 21 10 7 , 0.111123 22 10 7)
(0.0837318 2 16 18 , 0.111157 2 16 17)
(0.0942018 8 11 12 , 0.111168 8 10 12)
(0.101524 28 10 18 , 0.111415 28 10 19)
(0.0122239 23 24 24 , 0.111644 23 25 24)
(0.0859997 7 12 24 , 0.112292 7 13 24)
(0.0670898 13 7 25 , 0.112477 13 7 26)
(0.00152463 12 26 8 , 0.112528 12 25 8)
(0.108183 6 16 16 , 0.11303 6 16 17)
(0.0886916 2 15 7 , 0.113096 2 14 7)
(0.103501 18 0 22 , 0.113723 18 1 22)
(0.0281626 8 19 16 , 0.113843 7 20 15)
(0.0606419 16 2 18 , 0.113907 17 2 18)
(0.0286674 29 24 27 , 0.114059 29 25 27)
(0.0926846 23 9 17 , 0.114123 23 8 17)
(0.0704129 22 1 17 , 0.114166 22 0 17)
(0.0550796 22 0 19 , 0.114166 22 0 17)
(0.0450976 26 2 14 , 0.114331 25 2 14)
(0.0414579 27 11 22 , 0.114842 27 11 23)
(0.10389 21 6 26 , 0.116594 21 6 25)
(0.0969429 15 12 28 , 0.117604 15 11 28)
(0.0794569 27 22 29 , 0.118027 27 24 29)
(0.0823718 4 0 3 , 0.118374 4 1 3)
(0.077053 22 22 26 , 0.118504 23 22 26)
(0.0540445 5 21 21 , 0.119444 5 21 22)
(0.0968197 25 27 4 , 0.119474 25 27 5)
(0.0953111 25 27 6 , 0.119474 25 27 5)
(0.0148256 5 15 7 , 0.119511 5 16 7)
(0.0870135 3 26 20 , 0.119616 3 25 20)
(0.0406048 20 28 2 , 0.120331 20 28 3)
(0.00407211 19 28 3 , 0.120331 20 28 3)
(0.0762955 27 4 26 , 0.120835 28 4 26)
(0.055064 7 4 23 , 0.121265 7 4 24)
(0.0455891 10 23 4 , 0.121487 9 23 4)
(0.0627397 11 18 2 , 0.12188 11 18 1)
(0.0783858 16 5 17 , 0.122208 17 5 17)
(0.0204023 17 3 2 , 0.123555 17 4 2)
(0.0982001 3 9 2 , 0.123558 2 9 2)
(0.0592961 0 19 1 , 0.124185 0 19 2)
(0.110756 2 3 4 , 0.124218 3 3 4)
(0.0926465 19 28 0 , 0.124511 18 28 0)
(0.0999692 28 18 5 , 0.124563 28 18 6)
(0.109658 22 28 9 , 0.12493 22 27 9)
(0.0607341 24 16 7 , 0.125183 24 17 7)
(0.0421155 23 17 8 , 0.125183 24 17 7)
(0.101921 7 13 9 , 0.126311 7 13 10)
(0.0939475 14 4 15 , 0.126561 14 5 15)
(0.0440734 18 22 24 , 0.127163 18 21 24)
(0.0816727 5 13 16 , 0.128302 6 15 16)
(0.0354353 9 5 3 , 0.128912 10 5 3)
(0.0394935 21 27 23 , 0.129241 20 27 24)
(0.122709 3 23 22 , 0.129687 3 23 21)
(0.060524 2 1 14 , 0.129846 3 1 14)
(0.121191 14 10 16 , 0.129867 15 10 16)
(0.115745 28 24 18 , 0.130018 28 24 19)
(0.11054 18 27 8 , 0.130592 19 27 8)
(0.112597 21 26 20 , 0.130632 22 26 20)
(0.110002 11 18 26 , 0.131183 11 18 25)
(0.103036 5 1 18 , 0.131401 4 1 18)
(0.0248867 8 28 2 , 0.131409 8 29 2)
(0.092027 10 19 24 , 0.133019 10 20 24)
(0.131552 4 17 25 , 0.133114 4 17 26)
