0
(0.112782 29 25 23 , 0.3592 29 25 24) - (0.0254857 28 25 22 , 0.0286595 29 25 22)
(0.0152773 13 10 1 , 0.0333974 13 11 1) - (0.165251 13 10 1 , 0.183902 13 9 1)
(0.0122012 14 12 16 , 0.0371105 14 13 16) - (0.025362 13 14 16 , 0.16299 14 14 16)
(0.0279799 8 1 8 , 0.15166 7 1 8) - (0.0172267 8 1 6 , 0.0399432 8 2 6)
(0.0234103 27 21 13 , 0.391258 28 22 13) - (0.255847 27 21 13 , 0.267351 27 20 13)
(0.0220494 1 4 4 , 0.044532 2 4 4) - (0.0474632 1 4 5 , 0.265532 0 5 3)
(0.0447056 10 29 23 , 0.199776 10 29 24) - (0.0310843 10 29 22 , 0.185918 10 29 23)
(0.0016869 6 8 13 , 0.0457146 6 8 14) - (0.0435693 5 9 14 , 0.294079 5 10 13)
(0.0338913 4 14 0 , 0.267431 6 15 2) - (0.0481068 6 14 0 , 0.260923 6 14 1)
(0.0122576 26 20 14 , 0.43766 26 20 15) - (0.205164 27 21 15 , 0.43798 26 21 15)
(0.0508283 8 16 1 , 0.182199 8 17 1) - (0.026981 7 16 1 , 0.361309 6 16 1)
(0.0380182 3 2 8 , 0.218321 3 3 6) - (0.0383551 3 2 8 , 0.237576 3 3 8)
(0.102427 8 6 22 , 0.355935 8 7 22) - (0.0231072 8 6 22 , 0.0526603 8 6 23)
(0.19734 29 16 16 , 0.49676 29 17 16) - (0.0284078 29 16 16 , 0.0535586 29 15 17)
(0.0543678 1 16 23 , 0.459678 1 17 22) - (0.0206977 1 15 23 , 0.316496 1 16 19)
(0.0580073 5 1 15 , 0.251043 4 0 17) - (0.0239032 5 1 13 , 0.154948 3 1 16)
(0.036999 13 20 2 , 0.202451 13 19 3) - (0.146965 12 19 1 , 0.157458 11 19 1)
(0.0103146 0 25 29 , 0.130799 3 24 28) - (0.486688 0 25 29 , 0.531582 0 25 28)
(0.0179624 15 8 17 , 0.0957458 15 8 16) - (0.0237232 15 6 17 , 0.255655 16 5 17)
(0.0122949 19 4 23 , 0.179473 20 4 23) - (0.0456807 19 2 22 , 0.31054 20 3 23)
(0.036751 9 15 5 , 0.313481 10 16 4) - (0.0352442 7 16 5 , 0.0604234 8 16 4)
(0.0270099 12 24 8 , 0.0977287 13 24 8) - (0.0608757 13 24 8 , 0.147118 13 23 8)
(0.0430466 29 1 16 , 0.464294 29 1 18) - (0.00454448 29 1 17 , 0.336384 24 1 19)
(0.0407798 8 14 12 , 0.42574 8 13 12) - (0.0536566 9 14 12 , 0.151452 9 13 12)
(0.0319446 23 26 21 , 0.313025 23 27 22) - (0.0551838 22 26 22 , 0.0646489 23 26 22)
(0.0391474 21 29 2 , 0.265628 21 28 2) - (0.0337873 21 29 1 , 0.38524 20 29 1)
(0.0288116 12 9 18 , 0.42441 12 9 19) - (0.0661438 12 9 19 , 0.213403 13 9 20)
(0.0389094 25 29 25 , 0.311125 25 29 27) - (0.0177527 25 29 27 , 0.127124 25 29 26)
(0.0593107 6 6 28 , 0.30599 6 7 28) - (0.0181872 6 6 27 , 0.292808 6 7 27)
(0.402238 24 26 29 , 0.477225 23 25 29) - (0.0353142 24 26 29 , 0.258172 26 26 29)
(0.0982358 29 14 5 , 0.262215 29 14 6) - (0.021039 29 14 5 , 0.0892803 28 14 4)
(0.0472432 25 11 26 , 0.108683 25 10 26) - (0.059181 23 10 26 , 0.0721078 23 11 26)
(0.0506939 14 17 11 , 0.0723059 15 17 11) - (0.0376541 14 17 10 , 0.37715 14 18 11)
(0.072882 15 10 23 , 0.089002 15 10 24) - (0.0447922 15 9 24 , 0.0762589 15 10 23)
(0.0372315 6 28 22 , 0.073448 6 28 23) - (0.0486929 6 28 21 , 0.226209 7 29 21)
(0.0497961 19 21 28 , 0.182968 19 21 29) - (0.104799 21 23 28 , 0.321142 22 23 27)
(0.0707136 10 23 28 , 0.0740749 10 23 27) - (0.0209698 10 22 26 , 0.235424 9 22 26)
(0.00918721 21 11 23 , 0.333475 21 10 21) - (0.0750151 22 11 23 , 0.298428 21 11 24)
(0.0537765 7 7 24 , 0.075319 6 7 24) - (0.0600276 6 6 24 , 0.238471 6 6 23)
(0.0689228 22 2 5 , 0.417454 22 2 6) - (0.0638837 22 1 6 , 0.122984 22 1 5)
(0.0895109 18 5 24 , 0.304454 17 5 23) - (0.0634303 20 5 24 , 0.0756038 19 5 24)
(0.021033 14 15 22 , 0.179968 13 15 24) - (0.0756141 13 15 24 , 0.274963 12 15 24)
(0.066032 11 7 14 , 0.347891 10 7 14) - (0.0395269 14 7 14 , 0.234541 14 6 13)
(0.00761541 4 22 6 , 0.0759305 4 21 5) - (0.0309486 4 20 6 , 0.315498 5 22 6)
(0.0392326 29 27 19 , 0.213117 28 27 20) - (0.0570126 28 28 19 , 0.564867 29 29 19)
(0.0810892 27 28 8 , 0.25915 29 29 7) - (0.0362141 27 29 8 , 0.377469 24 27 7)
(0.145997 7 13 26 , 0.566103 8 13 26) - (0.0735814 7 13 26 , 0.0771398 6 13 26)
(0.017162 4 29 5 , 0.489517 4 28 5) - (0.0630403 4 29 7 , 0.219368 4 29 5)
(0.0292587 24 29 27 , 0.215158 24 28 28) - (0.0658303 24 27 26 , 0.556095 24 28 26)
(0.275197 29 28 28 , 0.386613 29 27 28) - (0.0361803 29 28 28 , 0.0777673 28 28 28)
(0.120952 13 3 28 , 0.136655 12 3 28) - (0.0360949 13 3 28 , 0.078663 11 3 28)
(0.0787305 25 1 25 , 0.308959 25 2 25) - (0.0202823 25 1 26 , 0.214577 26 2 25)
(0.0684194 13 11 21 , 0.267763 13 10 20) - (0.079808 14 11 21 , 0.152952 14 10 21)
(0.0517803 25 26 17 , 0.0812124 25 25 17) - (0.0701592 25 26 18 , 0.335657 25 27 16)
(0.0129871 2 19 28 , 0.433325 2 19 26) - (0.0814277 2 20 28 , 0.580227 2 21 28)
(0.0815713 18 20 28 , 0.0817162 18 20 29) - (0.0574413 18 20 29 , 0.282615 19 19 29)
(0.0725043 9 25 2 , 0.235247 9 24 2) - (0.0334866 9 24 2 , 0.417313 9 23 2)
(0.0112861 17 28 19 , 0.164102 16 28 19) - (0.0818407 17 27 19 , 0.146376 17 27 18)
(0.0216063 3 23 20 , 0.0822382 2 23 20) - (0.271843 3 23 20 , 0.370457 4 23 20)
(0.00947959 5 9 0 , 0.488699 5 9 1) - (0.0724208 3 9 0 , 0.082412 4 9 0)
(0.0693021 12 8 27 , 0.235565 12 8 26) - (0.0657976 15 7 28 , 0.426959 14 7 28)
(0.0306785 3 12 5 , 0.247629 5 12 5) - (0.0339932 4 12 5 , 0.27007 4 13 5)
(0.0525966 6 13 5 , 0.0825876 6 12 5) - (0.0420041 7 13 5 , 0.241497 8 11 6)
(0.0122732 16 13 15 , 0.0829847 15 13 16) - (0.151749 16 13 15 , 0.181927 15 13 15)
(0.0326375 19 7 21 , 0.389056 17 5 20) - (0.0775941 20 7 21 , 0.0830031 20 6 21)
(0.0835539 3 2 28 , 0.105295 4 2 28) - (0.0780721 3 2 29 , 0.275698 3 3 29)
(0.0693919 14 15 14 , 0.0844202 15 15 14) - (0.0581314 14 14 14 , 0.562703 14 14 15)
(0.0684851 16 15 13 , 0.175954 17 15 13) - (0.0445655 15 16 15 , 0.278558 15 16 16)
(0.0618013 19 17 23 , 0.213589 19 16 23) - (0.139134 18 17 23 , 0.146903 18 17 24)
(0.00661479 27 21 15 , 0.215661 26 21 16) - (0.0848591 26 21 16 , 0.43798 26 21 15)
(0.0734216 18 27 18 , 0.375096 18 25 18) - (0.0520108 19 28 16 , 0.474522 20 29 16)
(0.0350271 18 4 5 , 0.25631 16 5 4) - (0.0277058 18 5 6 , 0.244382 18 7 4)
(0.0866708 12 29 8 , 0.268842 12 29 9) - (0.0606338 11 29 8 , 0.400732 11 29 7)
(0.0141331 18 5 16 , 0.488363 18 5 17) - (0.0781409 17 5 16 , 0.205772 16 6 16)
(0.0377469 25 24 4 , 0.310051 25 23 3) - (0.0148308 24 24 3 , 0.289648 23 23 3)
(0.0326203 14 7 3 , 0.27807 13 7 4) - (0.0592058 15 6 2 , 0.244996 15 7 2)
(0.0668248 12 15 11 , 0.324528 12 16 12) - (0.0825163 12 15 10 , 0.428398 13 16 10)
(0.0879183 2 5 25 , 0.208019 3 5 25) - (0.0456378 1 5 25 , 0.329664 2 4 24)
(0.0291159 1 21 17 , 0.0881614 2 22 16) - (0.351072 2 21 17 , 0.370086 1 21 17)
(0.0714293 7 12 3 , 0.140805 6 12 3) - (0.0326637 8 13 2 , 0.0900127 6 13 2)
(0.073715 15 13 24 , 0.0979565 15 12 24) - (0.0428718 15 12 24 , 0.453309 15 11 24)
(0.0100837 7 1 9 , 0.292774 7 1 7) - (0.0468681 7 0 9 , 0.0891635 8 0 9)
(0.0616328 4 14 25 , 0.307867 3 14 24) - (0.0141699 3 14 24 , 0.251898 2 16 24)
(0.0230139 21 24 1 , 0.0897432 22 24 1) - (0.0147343 21 24 0 , 0.34246 21 24 2)
(0.100491 18 23 5 , 0.250268 18 24 4) - (0.0278658 18 23 5 , 0.0897561 18 23 6)
(0.0733381 20 23 6 , 0.100679 20 23 5) - (0.0365639 18 23 7 , 0.0897561 18 23 6)
(0.0822973 15 4 16 , 0.242942 16 4 17) - (0.0487444 15 4 16 , 0.186317 14 4 16)
(0.0335412 3 6 25 , 0.239145 3 4 25) - (0.0385469 4 5 27 , 0.249655 4 4 27)
